cleaning log files...
loading spack
loading fdapde_devel environment
Eigen library found at /home/u10656115/.spack/packages/linux-cascadelake/eigen-3.4.0-hklx4lp26fdlaepysl2vcl6zyvtf5cag
compiling...
launching executable...
n_obs_per_clust: 20
n_clust:         3
N:               10
seed:            42
create directory per output
11 1
caricati dati 
creati spazi, dist and init
regolarizza centroidi iniziali
step assegnazione it0
distanza ck:0 i:0 vale=1.8991 , best dist:1.79769e+308
distanza ck:1 i:0 vale=2.27997 , best dist:1.8991
distanza ck:2 i:0 vale=2.33733 , best dist:1.8991
distanza ck:0 i:1 vale=2.26432 , best dist:1.79769e+308
distanza ck:1 i:1 vale=2.29563 , best dist:2.26432
distanza ck:2 i:1 vale=2.35503 , best dist:2.26432
distanza ck:0 i:2 vale=2.26364 , best dist:1.79769e+308
distanza ck:1 i:2 vale=2.3028 , best dist:2.26364
distanza ck:2 i:2 vale=2.35959 , best dist:2.26364
distanza ck:0 i:3 vale=2.26878 , best dist:1.79769e+308
distanza ck:1 i:3 vale=2.27265 , best dist:2.26878
distanza ck:2 i:3 vale=2.31638 , best dist:2.26878
distanza ck:0 i:4 vale=2.23461 , best dist:1.79769e+308
distanza ck:1 i:4 vale=2.27692 , best dist:2.23461
distanza ck:2 i:4 vale=2.31387 , best dist:2.23461
distanza ck:0 i:5 vale=2.22929 , best dist:1.79769e+308
distanza ck:1 i:5 vale=2.26091 , best dist:2.22929
distanza ck:2 i:5 vale=2.31324 , best dist:2.22929
distanza ck:0 i:6 vale=2.24376 , best dist:1.79769e+308
distanza ck:1 i:6 vale=2.27673 , best dist:2.24376
distanza ck:2 i:6 vale=2.32803 , best dist:2.24376
distanza ck:0 i:7 vale=2.25374 , best dist:1.79769e+308
distanza ck:1 i:7 vale=2.28396 , best dist:2.25374
distanza ck:2 i:7 vale=2.33778 , best dist:2.25374
distanza ck:0 i:8 vale=2.2439 , best dist:1.79769e+308
distanza ck:1 i:8 vale=2.25512 , best dist:2.2439
distanza ck:2 i:8 vale=2.31645 , best dist:2.2439
distanza ck:0 i:9 vale=2.24926 , best dist:1.79769e+308
distanza ck:1 i:9 vale=2.29278 , best dist:2.24926
distanza ck:2 i:9 vale=2.33246 , best dist:2.24926
distanza ck:0 i:10 vale=2.23855 , best dist:1.79769e+308
distanza ck:1 i:10 vale=2.27325 , best dist:2.23855
distanza ck:2 i:10 vale=2.31947 , best dist:2.23855
distanza ck:0 i:11 vale=2.27586 , best dist:1.79769e+308
distanza ck:1 i:11 vale=2.30139 , best dist:2.27586
distanza ck:2 i:11 vale=2.36681 , best dist:2.27586
distanza ck:0 i:12 vale=2.27185 , best dist:1.79769e+308
distanza ck:1 i:12 vale=2.30212 , best dist:2.27185
distanza ck:2 i:12 vale=2.34238 , best dist:2.27185
distanza ck:0 i:13 vale=2.25776 , best dist:1.79769e+308
distanza ck:1 i:13 vale=2.29997 , best dist:2.25776
distanza ck:2 i:13 vale=2.3395 , best dist:2.25776
distanza ck:0 i:14 vale=2.22647 , best dist:1.79769e+308
distanza ck:1 i:14 vale=2.25156 , best dist:2.22647
distanza ck:2 i:14 vale=2.29755 , best dist:2.22647
distanza ck:0 i:15 vale=2.26283 , best dist:1.79769e+308
distanza ck:1 i:15 vale=2.29002 , best dist:2.26283
distanza ck:2 i:15 vale=2.34334 , best dist:2.26283
distanza ck:0 i:16 vale=2.25551 , best dist:1.79769e+308
distanza ck:1 i:16 vale=2.29184 , best dist:2.25551
distanza ck:2 i:16 vale=2.34671 , best dist:2.25551
distanza ck:0 i:17 vale=2.23648 , best dist:1.79769e+308
distanza ck:1 i:17 vale=2.26684 , best dist:2.23648
distanza ck:2 i:17 vale=2.3227 , best dist:2.23648
distanza ck:0 i:18 vale=2.23794 , best dist:1.79769e+308
distanza ck:1 i:18 vale=2.2726 , best dist:2.23794
distanza ck:2 i:18 vale=2.31332 , best dist:2.23794
distanza ck:0 i:19 vale=2.26803 , best dist:1.79769e+308
distanza ck:1 i:19 vale=2.29766 , best dist:2.26803
distanza ck:2 i:19 vale=2.34565 , best dist:2.26803
distanza ck:0 i:20 vale=2.26868 , best dist:1.79769e+308
distanza ck:1 i:20 vale=1.88608 , best dist:2.26868
distanza ck:2 i:20 vale=2.26304 , best dist:1.88608
distanza ck:0 i:21 vale=2.25044 , best dist:1.79769e+308
distanza ck:1 i:21 vale=2.22805 , best dist:2.25044
distanza ck:2 i:21 vale=2.24427 , best dist:2.22805
distanza ck:0 i:22 vale=2.2979 , best dist:1.79769e+308
distanza ck:1 i:22 vale=2.26272 , best dist:2.2979
distanza ck:2 i:22 vale=2.28623 , best dist:2.26272
distanza ck:0 i:23 vale=2.25521 , best dist:1.79769e+308
distanza ck:1 i:23 vale=2.23487 , best dist:2.25521
distanza ck:2 i:23 vale=2.23303 , best dist:2.23487
distanza ck:0 i:24 vale=2.28634 , best dist:1.79769e+308
distanza ck:1 i:24 vale=2.26686 , best dist:2.28634
distanza ck:2 i:24 vale=2.26949 , best dist:2.26686
distanza ck:0 i:25 vale=2.28329 , best dist:1.79769e+308
distanza ck:1 i:25 vale=2.25741 , best dist:2.28329
distanza ck:2 i:25 vale=2.2758 , best dist:2.25741
distanza ck:0 i:26 vale=2.24543 , best dist:1.79769e+308
distanza ck:1 i:26 vale=2.23772 , best dist:2.24543
distanza ck:2 i:26 vale=2.24321 , best dist:2.23772
distanza ck:0 i:27 vale=2.2792 , best dist:1.79769e+308
distanza ck:1 i:27 vale=2.25523 , best dist:2.2792
distanza ck:2 i:27 vale=2.25101 , best dist:2.25523
distanza ck:0 i:28 vale=2.28697 , best dist:1.79769e+308
distanza ck:1 i:28 vale=2.2749 , best dist:2.28697
distanza ck:2 i:28 vale=2.28168 , best dist:2.2749
distanza ck:0 i:29 vale=2.27066 , best dist:1.79769e+308
distanza ck:1 i:29 vale=2.22727 , best dist:2.27066
distanza ck:2 i:29 vale=2.23662 , best dist:2.22727
distanza ck:0 i:30 vale=2.30915 , best dist:1.79769e+308
distanza ck:1 i:30 vale=2.27095 , best dist:2.30915
distanza ck:2 i:30 vale=2.28681 , best dist:2.27095
distanza ck:0 i:31 vale=2.29115 , best dist:1.79769e+308
distanza ck:1 i:31 vale=2.27834 , best dist:2.29115
distanza ck:2 i:31 vale=2.28502 , best dist:2.27834
distanza ck:0 i:32 vale=2.29672 , best dist:1.79769e+308
distanza ck:1 i:32 vale=2.27656 , best dist:2.29672
distanza ck:2 i:32 vale=2.29903 , best dist:2.27656
distanza ck:0 i:33 vale=2.26674 , best dist:1.79769e+308
distanza ck:1 i:33 vale=2.25266 , best dist:2.26674
distanza ck:2 i:33 vale=2.2462 , best dist:2.25266
distanza ck:0 i:34 vale=2.2476 , best dist:1.79769e+308
distanza ck:1 i:34 vale=2.22856 , best dist:2.2476
distanza ck:2 i:34 vale=2.25234 , best dist:2.22856
distanza ck:0 i:35 vale=2.26087 , best dist:1.79769e+308
distanza ck:1 i:35 vale=2.25226 , best dist:2.26087
distanza ck:2 i:35 vale=2.26159 , best dist:2.25226
distanza ck:0 i:36 vale=2.26304 , best dist:1.79769e+308
distanza ck:1 i:36 vale=2.26962 , best dist:2.26304
distanza ck:2 i:36 vale=2.27713 , best dist:2.26304
distanza ck:0 i:37 vale=2.30386 , best dist:1.79769e+308
distanza ck:1 i:37 vale=2.28428 , best dist:2.30386
distanza ck:2 i:37 vale=2.29813 , best dist:2.28428
distanza ck:0 i:38 vale=2.31409 , best dist:1.79769e+308
distanza ck:1 i:38 vale=2.27177 , best dist:2.31409
distanza ck:2 i:38 vale=2.28445 , best dist:2.27177
distanza ck:0 i:39 vale=2.27261 , best dist:1.79769e+308
distanza ck:1 i:39 vale=2.25222 , best dist:2.27261
distanza ck:2 i:39 vale=2.27508 , best dist:2.25222
distanza ck:0 i:40 vale=2.32433 , best dist:1.79769e+308
distanza ck:1 i:40 vale=2.26318 , best dist:2.32433
distanza ck:2 i:40 vale=1.88244 , best dist:2.26318
distanza ck:0 i:41 vale=2.37547 , best dist:1.79769e+308
distanza ck:1 i:41 vale=2.30754 , best dist:2.37547
distanza ck:2 i:41 vale=2.27741 , best dist:2.30754
distanza ck:0 i:42 vale=2.35227 , best dist:1.79769e+308
distanza ck:1 i:42 vale=2.28186 , best dist:2.35227
distanza ck:2 i:42 vale=2.24876 , best dist:2.28186
distanza ck:0 i:43 vale=2.32478 , best dist:1.79769e+308
distanza ck:1 i:43 vale=2.27951 , best dist:2.32478
distanza ck:2 i:43 vale=2.23632 , best dist:2.27951
distanza ck:0 i:44 vale=2.35229 , best dist:1.79769e+308
distanza ck:1 i:44 vale=2.28292 , best dist:2.35229
distanza ck:2 i:44 vale=2.23851 , best dist:2.28292
distanza ck:0 i:45 vale=2.36053 , best dist:1.79769e+308
distanza ck:1 i:45 vale=2.28317 , best dist:2.36053
distanza ck:2 i:45 vale=2.27797 , best dist:2.28317
distanza ck:0 i:46 vale=2.34146 , best dist:1.79769e+308
distanza ck:1 i:46 vale=2.26472 , best dist:2.34146
distanza ck:2 i:46 vale=2.24962 , best dist:2.26472
distanza ck:0 i:47 vale=2.3576 , best dist:1.79769e+308
distanza ck:1 i:47 vale=2.29127 , best dist:2.3576
distanza ck:2 i:47 vale=2.25355 , best dist:2.29127
distanza ck:0 i:48 vale=2.34118 , best dist:1.79769e+308
distanza ck:1 i:48 vale=2.26568 , best dist:2.34118
distanza ck:2 i:48 vale=2.23069 , best dist:2.26568
distanza ck:0 i:49 vale=2.32003 , best dist:1.79769e+308
distanza ck:1 i:49 vale=2.26219 , best dist:2.32003
distanza ck:2 i:49 vale=2.24041 , best dist:2.26219
distanza ck:0 i:50 vale=2.32659 , best dist:1.79769e+308
distanza ck:1 i:50 vale=2.25863 , best dist:2.32659
distanza ck:2 i:50 vale=2.23385 , best dist:2.25863
distanza ck:0 i:51 vale=2.33654 , best dist:1.79769e+308
distanza ck:1 i:51 vale=2.27556 , best dist:2.33654
distanza ck:2 i:51 vale=2.25104 , best dist:2.27556
distanza ck:0 i:52 vale=2.33895 , best dist:1.79769e+308
distanza ck:1 i:52 vale=2.27157 , best dist:2.33895
distanza ck:2 i:52 vale=2.25386 , best dist:2.27157
distanza ck:0 i:53 vale=2.3683 , best dist:1.79769e+308
distanza ck:1 i:53 vale=2.29457 , best dist:2.3683
distanza ck:2 i:53 vale=2.27849 , best dist:2.29457
distanza ck:0 i:54 vale=2.32241 , best dist:1.79769e+308
distanza ck:1 i:54 vale=2.26689 , best dist:2.32241
distanza ck:2 i:54 vale=2.23374 , best dist:2.26689
distanza ck:0 i:55 vale=2.33851 , best dist:1.79769e+308
distanza ck:1 i:55 vale=2.26436 , best dist:2.33851
distanza ck:2 i:55 vale=2.2302 , best dist:2.26436
distanza ck:0 i:56 vale=2.36331 , best dist:1.79769e+308
distanza ck:1 i:56 vale=2.31693 , best dist:2.36331
distanza ck:2 i:56 vale=2.26462 , best dist:2.31693
distanza ck:0 i:57 vale=2.33953 , best dist:1.79769e+308
distanza ck:1 i:57 vale=2.29131 , best dist:2.33953
distanza ck:2 i:57 vale=2.24945 , best dist:2.29131
distanza ck:0 i:58 vale=2.3332 , best dist:1.79769e+308
